row_id,title,ros_version,source_code_required,simulation_use,tools_flag,tools,all_defect_codes,defect_code,major_category,subcategory,codebook_ros_scope,english_name,concise_label
10,A Study on ROS Vulnerabilities and Countermeasure,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
10,A Study on ROS Vulnerabilities and Countermeasure,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
10,A Study on ROS Vulnerabilities and Countermeasure,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
10,A Study on ROS Vulnerabilities and Countermeasure,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
10,A Study on ROS Vulnerabilities and Countermeasure,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,ROS1-SPF,VUL,A,ROS 1,Master as a Single Point of Failure,Master Single Point
11,Smart Malware that Uses Leaked Control Data of Robotic Applications: The Case of Raven-II Surgical Robots,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
11,Smart Malware that Uses Leaked Control Data of Robotic Applications: The Case of Raven-II Surgical Robots,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
11,Smart Malware that Uses Leaked Control Data of Robotic Applications: The Case of Raven-II Surgical Robots,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
11,Smart Malware that Uses Leaked Control Data of Robotic Applications: The Case of Raven-II Surgical Robots,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
11,Smart Malware that Uses Leaked Control Data of Robotic Applications: The Case of Raven-II Surgical Robots,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,ROS1-SPF,VUL,A,ROS 1,Master as a Single Point of Failure,Master Single Point
12,ROSploit: Cybersecurity Tool for ROS,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
12,ROSploit: Cybersecurity Tool for ROS,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
12,ROSploit: Cybersecurity Tool for ROS,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
12,ROSploit: Cybersecurity Tool for ROS,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
12,ROSploit: Cybersecurity Tool for ROS,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-SPF,VUL,A,ROS 1,Master as a Single Point of Failure,Master Single Point
12,ROSploit: Cybersecurity Tool for ROS,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-LFQ,VUL,A,ROS 1,Lack of Flow Control and QoS,No Flow/QoS Control
13,Scanning the Internet for ROS: A View of Security in Robotics Research,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
13,Scanning the Internet for ROS: A View of Security in Robotics Research,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
13,Scanning the Internet for ROS: A View of Security in Robotics Research,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
13,Scanning the Internet for ROS: A View of Security in Robotics Research,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
13,Scanning the Internet for ROS: A View of Security in Robotics Research,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF,ROS1-IPS,VUL,I,ROS 1,Insecure Parameter Server,Insecure Parameters
13,Scanning the Internet for ROS: A View of Security in Robotics Research,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF,ROS1-SPF,VUL,A,ROS 1,Master as a Single Point of Failure,Master Single Point
14,Security on ROS: Analyzing and Exploiting Vulnerabilities of ROS-Based Systems,ROS 1,No,No,False,No,ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-LFQ,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
14,Security on ROS: Analyzing and Exploiting Vulnerabilities of ROS-Based Systems,ROS 1,No,No,False,No,ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-LFQ,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
14,Security on ROS: Analyzing and Exploiting Vulnerabilities of ROS-Based Systems,ROS 1,No,No,False,No,ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-LFQ,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
14,Security on ROS: Analyzing and Exploiting Vulnerabilities of ROS-Based Systems,ROS 1,No,No,False,No,ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-LFQ,ROS1-LFQ,VUL,A,ROS 1,Lack of Flow Control and QoS,No Flow/QoS Control
15,Security Controller Synthesis for ROS-based Robot,ROS 1,No,Yes,False,No,ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-LFQ,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
15,Security Controller Synthesis for ROS-based Robot,ROS 1,No,Yes,False,No,ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-LFQ,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
15,Security Controller Synthesis for ROS-based Robot,ROS 1,No,Yes,False,No,ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-LFQ,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
15,Security Controller Synthesis for ROS-based Robot,ROS 1,No,Yes,False,No,ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-LFQ,ROS1-LFQ,VUL,A,ROS 1,Lack of Flow Control and QoS,No Flow/QoS Control
16,Penetration Testing ROS,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
16,Penetration Testing ROS,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
16,Penetration Testing ROS,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
16,Penetration Testing ROS,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
16,Penetration Testing ROS,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,ROS1-IPS,VUL,I,ROS 1,Insecure Parameter Server,Insecure Parameters
16,Penetration Testing ROS,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,ROS1-SPF,VUL,A,ROS 1,Master as a Single Point of Failure,Master Single Point
16,Penetration Testing ROS,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,ROS1-LFQ,VUL,A,ROS 1,Lack of Flow Control and QoS,No Flow/QoS Control
17,Novel Denial-of-Service Attacks Against Cloud-Based Multi-Robot Systems,ROS 1,No,Yes,False,No,ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-LFQ,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
17,Novel Denial-of-Service Attacks Against Cloud-Based Multi-Robot Systems,ROS 1,No,Yes,False,No,ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-LFQ,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
17,Novel Denial-of-Service Attacks Against Cloud-Based Multi-Robot Systems,ROS 1,No,Yes,False,No,ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-LFQ,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
17,Novel Denial-of-Service Attacks Against Cloud-Based Multi-Robot Systems,ROS 1,No,Yes,False,No,ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-LFQ,ROS1-LFQ,VUL,A,ROS 1,Lack of Flow Control and QoS,No Flow/QoS Control
18,Data Tampering Attack Design for ROS-Based Object Detection and Tracking Robotic Platform,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
18,Data Tampering Attack Design for ROS-Based Object Detection and Tracking Robotic Platform,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
18,Data Tampering Attack Design for ROS-Based Object Detection and Tracking Robotic Platform,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
18,Data Tampering Attack Design for ROS-Based Object Detection and Tracking Robotic Platform,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
18,Data Tampering Attack Design for ROS-Based Object Detection and Tracking Robotic Platform,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,ROS1-SPF,VUL,A,ROS 1,Master as a Single Point of Failure,Master Single Point
19,Analysis of Attacks on Robotic Operation System,Both,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
19,Analysis of Attacks on Robotic Operation System,Both,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
19,Analysis of Attacks on Robotic Operation System,Both,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
19,Analysis of Attacks on Robotic Operation System,Both,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
19,Analysis of Attacks on Robotic Operation System,Both,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,ROS1-IPS,VUL,I,ROS 1,Insecure Parameter Server,Insecure Parameters
19,Analysis of Attacks on Robotic Operation System,Both,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,ROS1-SPF,VUL,A,ROS 1,Master as a Single Point of Failure,Master Single Point
19,Analysis of Attacks on Robotic Operation System,Both,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,ROS1-LFQ,VUL,A,ROS 1,Lack of Flow Control and QoS,No Flow/QoS Control
20,Cyberattacks on Self-Driving Cars and Surgical and Eldercare Robots,Both,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
20,Cyberattacks on Self-Driving Cars and Surgical and Eldercare Robots,Both,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
20,Cyberattacks on Self-Driving Cars and Surgical and Eldercare Robots,Both,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
20,Cyberattacks on Self-Driving Cars and Surgical and Eldercare Robots,Both,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
20,Cyberattacks on Self-Driving Cars and Surgical and Eldercare Robots,Both,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-SPF,VUL,A,ROS 1,Master as a Single Point of Failure,Master Single Point
20,Cyberattacks on Self-Driving Cars and Surgical and Eldercare Robots,Both,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-LFQ,VUL,A,ROS 1,Lack of Flow Control and QoS,No Flow/QoS Control
21,ROS Network Security for a Swing Doors Automation in a Robotized Hospital,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
21,ROS Network Security for a Swing Doors Automation in a Robotized Hospital,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
21,ROS Network Security for a Swing Doors Automation in a Robotized Hospital,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
21,ROS Network Security for a Swing Doors Automation in a Robotized Hospital,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-UTA,VUL,I,ROS 1,Unrestricted Topic and Service Access,Unrestricted Access
21,ROS Network Security for a Swing Doors Automation in a Robotized Hospital,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-SPF,VUL,A,ROS 1,Master as a Single Point of Failure,Master Single Point
21,ROS Network Security for a Swing Doors Automation in a Robotized Hospital,ROS 1,No,No,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-LFQ,VUL,A,ROS 1,Lack of Flow Control and QoS,No Flow/QoS Control
22,An Analysis of DoS Attack on Robot Operating System,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-LE,VUL,C,ROS 1,Lack of Encryption,No Encryption
22,An Analysis of DoS Attack on Robot Operating System,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-PNE,VUL,C,ROS 1,Public Network Exposure,Public Exposure
22,An Analysis of DoS Attack on Robot Operating System,ROS 1,No,Yes,False,No,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,ROS1-LNA,VUL,I,ROS 1,Lack of Node Authentication,No Node Authentication
