ROS Defect Codebook,,,,,,,,,
"The fixed hierarchy is Major Category → Subcategory → Defect Code. Reliability faults are coded by the primary root-cause locus, not by symptoms or impacts.",,,,,,,,,
,,,,,,,,,
Subcategories,,,,,,,,,
Code,Applies To,Name,Operational Meaning,Key Boundary,,,,,
ROS2-LMLAC,VUL,ROS 2,C,Lack of Message-Level Access Control,No Message-Level Control,Node- or topic-level permissions lack the granularity needed to protect individual messages or fields.,An over-privileged node reads protected messages and relays them to an unsecured channel.,Benign publisher/subscriber mismatches belong to ICF.,Confused-deputy behavior or protected data relayed to an insecure topic.
ROS2-CSCE,VUL,ROS 2,C,Cryptographic Supply Chain Exposure,Crypto Supply Chain,"External cryptographic libraries or components on which ROS 2 security depends can be replaced, tampered with, or compromised through the supply chain, undermining security guarantees.",The study explicitly analyzes compromise of a cryptographic dependency and its effect on session keys or encryption.,"Ordinary dependency declarations, builds, or installation errors belong to BDF.",OpenSSL or cryptographic-library replacement and session-key leakage.
ROS2-ICAPP,VUL,ROS 2,I,Inadequate Credential and Policy Protection,Weak Credential Protection,"Certificates, keys, governance files, or permission files lack adequate local integrity protection.","An attacker modifies, replaces, or downgrades credentials or policies to impersonate an identity or escalate privileges.",Non-malicious policy syntax or configuration errors should be coded as REL only when the study analyzes them as reliability faults.,"Permission-file modification, certificate replacement, or privilege escalation."
ROS2-MPIB,VUL,ROS 2,I,Missing Publisher Identity Binding,No Publisher Binding,"Messages are not reliably bound to a specific legitimate publisher, allowing an authorized node to impersonate another publisher on a shared topic.",The study demonstrates source forgery or publisher impersonation on a shared topic.,"Benign frame-name, topic-name, or namespace mistakes belong to ICF.",A forged publisher on /tf or another shared topic.
ROS2-UTFAN,VUL,ROS 2,A,Unregulated Traffic from Authenticated Nodes,Unregulated Auth Traffic,"Authenticated nodes can generate harmful traffic because rate limiting, throttling, or backpressure is absent or inadequate.",An authenticated publisher or service client causes denial of service through flooding.,Benign application-level callback overload or execution delay belongs to SEF.,Authenticated topic flooding or service-call flooding.
ROS2-LRI,VUL,ROS 2,A,Lack of Resource Isolation,No Resource Isolation,"CPU, memory, process, or container resources are insufficiently isolated between nodes, allowing one malicious or faulty node to degrade the entire system.",The study treats missing resource isolation as the primary security weakness and evaluates cross-node effects.,A generic memory leak belongs to GPE; ordinary scheduling contention belongs to SEF.,CPU or memory monopolization and cascading service disruption.
BDF,REL,ROS 1 / ROS 2,CODE,Build and Dependency Faults,Build/Dependency Faults,"The root cause lies in package manifests, dependency declarations, build/install/export scripts, workspaces, or deployment packaging.","Missing or spurious dependencies, incorrect rosdep keys, malformed package.xml files, or incorrect CMake/ament/catkin/colcon rules.",Source-code syntax or logic errors belong to GPE; launch wiring or path binding belongs to ICF.,"Build logs, manifests, dependency differences, or installation/export failures."
SEF,REL,ROS 1 / ROS 2,CODE,Scheduling and Execution Faults,Scheduling/Execution,"The root cause lies in ROS callbacks, queues, executors, spin calls, callback groups, priorities, deadlines, or real-time scheduling.","Callback starvation, queue overflow, missed deadlines, executor contention, or incorrect spin/callback-group configuration.","Name, type, or QoS compatibility problems belong to ICF; generic locking or data-race defects belong to GPE.","Timing traces, executor configuration, queue behavior, callback latency, or deadlock evidence."
GPE,REL,ROS 1 / ROS 2,CODE,General Programming Errors,Programming Errors,"The root cause is a language-level or algorithmic implementation error not specific to ROS interfaces, executors, or domain semantics.","Out-of-bounds access, use-after-free, null dereference, unhandled exceptions, missing input validation, generic races/deadlocks, or algorithmic logic errors.",ROS executor or callback-group errors belong to SEF; interface wiring belongs to ICF; physical or domain-semantic errors belong to BSE.,"Crash stacks, sanitizer reports, fuzzing triggers, or source-code locations."
ICF,REL,ROS 1 / ROS 2,SEM,Interaction and Communication Faults,Interaction/Communication,"The root cause lies in relationships, interface contracts, or configuration bindings among ROS entities, including names, types, namespaces, remaps, endpoints, QoS, and launch wiring.","Incorrect topic/service/action names or types, missing endpoints, incorrect namespaces/remaps, QoS incompatibility, or launch-path/wiring errors.",Correctly delivered data with incorrect physical meaning belongs to BSE; callback/queue-induced loss belongs to SEF; malicious unauthorized communication belongs to VUL.,"Dangling publishers/subscribers, interface mismatches, or configuration/wiring evidence."
BSE,REL,ROS 1 / ROS 2,SEM,Behavioral and Semantic Errors,Behavioral/Semantic,"The root cause lies in robot models, transform values or conventions, physical units, parameter meaning, task logic, domain constraints, or explicit behavioral properties.","Unit confusion, incorrect TF values or conventions, invalid URDF/SDF mass, inertia, or joint limits, invalid control parameters, or violated properties/invariants.",Observed incorrect behavior alone is insufficient; incorrect interface relationships belong to ICF; generic code logic errors belong to GPE.,"Comparison of expected semantics or constraints with actual values, models, or execution traces."
,,,,,,,,,
Impact Categories,,,,,,,,,
Code,English Name,Concise Label,Operational Definition,,,,,,
IMP-DS,Data Snooping,Unauthorized Data Access,"Unauthorized observation of ROS data, metadata, maps, sensor streams, or control messages.",,,,,,
IMP-DT,Data Tampering,Unauthorized Modification,"Data, messages, services, or configurations are modified, forged, injected, replayed, or reconfigured without authorization.",,,,,,
IMP-RE,Resource Exhaustion,Denial of Service,"Flooding, CPU or memory exhaustion, Master/node overload, or denial of service.",,,,,,
IMP-FA,Functional Anomaly,Incorrect Behavior,"The system continues to run but behaves incorrectly, inconsistently, unsafely, or with degraded functionality.",,,,,,
IMP-OA,Operational Anomaly,Hard Failure,"Build, deployment, or startup failure; node or system crash, freeze, deadlock, or inability to operate.",,,,,,
