Inter-rater Coding Audit / 双人编码分析记录,,,,,,,,,,
The final code was produced only after comparing both independent codes and re-checking the full-text evidence and coding rules.,,,,,,,,,,
,,,,,,,,,,
Full coding audit: 91 studies,,,κ sample: source rows 60–86 (N=27),,,Sample major disagreements: 0,,Sample primary disagreements: 3,,
49,52,Quantifying DDS-Cerberus Network Control Overhead,VUL,VUL,Agree,VUL,I,I,Agree,I
50,53,Decentralized Information-Flow Control for ROS2,VUL,VUL,Agree,VUL,C,C,Agree,C
51,54,ROSRV: Runtime Verification for Robots,VUL,REL,Disagree,VUL,SEM,I,Disagree,I; SEM
52,55,ROSMonitoring: A Runtime Verification Framework for ROS,REL,REL,Agree,REL,SEM,SEM,Agree,SEM
53,56,ROS-Defender: SDN-Based Security Policy Enforcement for Robotic Applications,VUL,VUL,Agree,VUL,C; I; A,C; I; A,Agree,C; I; A
54,57,Towards a Robotic Intrusion Prevention System: Combining Security and Safety in Cognitive Social Robots,VUL,VUL,Agree,VUL,I; A,I; A,Agree,I; A
55,58,Watch Your Callback: Offline Anomaly Detection Using Machine Learning in ROS 2,REL,VUL,Disagree,VUL,A; CODE,CODE,Disagree,A; CODE
56,59,Intrusion Detection on Robot Cameras Using Spatio-Temporal Autoencoders: A Self-Driving Car Application,VUL,VUL,Agree,VUL,C; A,I; A,Disagree,C; I; A
57,60,Detecting Data Injection Attacks in ROS Systems Using Machine Learning,VUL,VUL,Agree,VUL,I,I,Agree,I
58,61,Trusted Operations of a Military Ground Robot in the Face of Man-in-the-Middle Cyberattacks Using Deep Learning Convolutional Neural Networks: Real-Time Experimental Outcomes,VUL,VUL,Agree,VUL,I,C,Disagree,C; I
59,62,DCWM-LSTM: A Novel Attack Detection Framework for Robotic Arms,VUL,VUL,Agree,VUL,I; A,I; A,Agree,I; A
60,63,ROZZ: Property-based Fuzzing for Robotic Programs in ROS,REL,REL,Agree,REL,CODE,CODE,Agree,CODE
61,64,Multi-Dimensional and Message-Guided Fuzzing for Robotic Programs in Robot Operating System,REL,REL,Agree,REL,CODE,CODE,Agree,CODE
62,65,Toward the Trustworthiness of Industrial Robotics Using Differential Fuzz Testing,REL,REL,Agree,REL,SEM,SEM,Agree,SEM
63,66,RoboFuzz: Fuzzing Robotic Systems over Robot Operating System (ROS) for Finding Correctness Bugs,REL,REL,Agree,REL,CODE; SEM,CODE; SEM,Agree,CODE; SEM
64,67,DiscoFuzzer: Discontinuity-based Vulnerability Detector for Robotic Systems,REL,REL,Agree,REL,CODE; SEM,CODE; SEM,Agree,CODE; SEM
65,68,Enhancing ROS System Fuzzing through Callback Tracing,REL,REL,Agree,REL,CODE,CODE,Agree,CODE
66,69,Property-Based Testing for the Robot Operating System,REL,REL,Agree,REL,SEM,CODE,Disagree,CODE; SEM
67,70,Checking consistency of robot software architectures in ROS,REL,REL,Agree,REL,SEM,SEM,Agree,SEM
68,71,Static-time Extraction and Analysis of the ROS Computation Graph,REL,REL,Agree,REL,CODE,CODE; SEM,Disagree,CODE; SEM
69,72,Verification of System-Wide Safety Properties of ROS Applications,REL,REL,Agree,REL,SEM,SEM,Agree,SEM
70,73,A Framework for Quality Assessment of ROS Repositories,REL,REL,Agree,REL,CODE,CODE,Agree,CODE
71,74,ROSInfer: Statically Inferring Behavioral Component Models for ROS-based Robotics Systems,REL,REL,Agree,REL,SEM,SEM,Agree,SEM
72,75,Towards Automatic Inference of Behavioral Component Models for ROS-Based Robotics Systems,REL,REL,Agree,REL,SEM,SEM,Agree,SEM
73,76,Lightweight Detection of Physical Unit Inconsistencies without Program Annotations,REL,REL,Agree,REL,SEM,SEM,Agree,SEM
74,77,"Phriky-Units: A Lightweight, Annotation-Free Physical Unit Inconsistency Detection Tool",REL,REL,Agree,REL,SEM,SEM,Agree,SEM
75,78,Phys: Probabilistic Physical Unit Assignment and Inconsistency Detection,REL,REL,Agree,REL,SEM,SEM,Agree,SEM
76,79,PhysFrame: Type Checking Physical Frames of Reference for Robotic Systems,REL,REL,Agree,REL,SEM,SEM,Agree,SEM
77,80,SA4U: Practical Static Analysis for Unit Type Error Detection,REL,REL,Agree,REL,SEM,SEM,Agree,SEM
78,81,UPPAAL-Based Modeling and Verification of ROS 2 Multi-threaded Execution and Operating System Reservations,REL,REL,Agree,REL,CODE,CODE,Agree,CODE
79,82,A Model-Based Methodology for Automated Verification of ROS 2 Systems,REL,REL,Agree,REL,CODE,CODE,Agree,CODE
80,83,Formal Verification of ROS-based Robotic Applications using Timed-Automata,REL,REL,Agree,REL,CODE,CODE,Agree,CODE
81,84,Pattern-based verification of ROS 2 applications using UPPAAL,REL,REL,Agree,REL,CODE,CODE,Agree,CODE
82,85,Verifying ROS-Based Applications Using Timed and Stochastic Timed Automata,REL,REL,Agree,REL,CODE,CODE,Agree,CODE
83,86,DiNeROS: A Model-Driven Framework for Verifiable ROS Applications with Petri Nets,REL,REL,Agree,REL,CODE; SEM,CODE; SEM,Agree,CODE; SEM
84,87,Distributed Petri Nets for Model-Driven Verifiable Robotic Applications in ROS,REL,REL,Agree,REL,SEM,SEM,Agree,SEM
85,88,Formal Verification of ROS Based Systems Using a Linear Logic Theorem Prover,REL,REL,Agree,REL,SEM,SEM,Agree,SEM
86,89,Formal Analysis and Detection for ROS2 Communication Security Vulnerability,VUL,VUL,Agree,VUL,I,I,Agree,I
87,90,ROSCallBaX: Statically Detecting Inconsistencies in Callback Function Setup of Robotic Systems,REL,REL,Agree,REL,CODE,CODE,Agree,CODE
88,91,A Novel Solution for Securing Robot Communications Based on the MQTT Protocol and ROS,VUL,VUL,Agree,VUL,C; I,C; I,Agree,C; I
89,92,From Models To Software Through Automatic Transformations: An AADL To ROS End-to-End Toolchain,REL,REL,Agree,REL,CODE; SEM,CODE; SEM,Agree,CODE; SEM
90,93,On the (In)Security of Secure ROS2,VUL,VUL,Agree,VUL,C; I,I,Disagree,C; I
91,94,ROSDiscover: Statically Detecting Run-Time Architecture Misconfigurations in Robotics Systems,REL,REL,Agree,REL,SEM,SEM,Agree,SEM
