缺陷证据表 / Defect-Level Evidence,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Study ID,Article Title,Defect Code,Major Category,Subcategory,Coverage,Evidence Statement / 证据,Evidence Location,Impact Category,Evidence Provenance,Notes,列1,列2,列3,列4,列5,列6
TBD,Security in Robot Operating Systems (ROS): Analytical Review Study,ROS1-UTA,VUL,I,Partial,The paper states that ROS publishers cannot control who consumes their information and that unauthorized nodes can record data or publish injected messages. It further identifies access control over topic publishing and subscription as a necessary protection mechanism.,"Introduction, p. 2; Table 4, pp. 8–9; Table 6, p. 11",IMP-DT,EP-HIST,"Primary code. The issue is explicitly analyzed as a ROS security weakness, but evidence is synthesized from prior studies rather than independently demonstrated.",,,,,,
TBD,Security in Robot Operating Systems (ROS): Analytical Review Study,ROS1-LE,VUL,C,Partial,"ROS 1 network traffic is described as being transmitted in a basic, unprotected form, making it susceptible to packet eavesdropping, man-in-the-middle attacks, and network hijacking. The review states that encryption is required to protect confidential ROS information.","Sec. IV, p. 7; Table 4, p. 8",IMP-DS,EP-HIST,"Directly supports absent channel protection in ROS 1, but the authors conduct no packet capture or communication experiment.",,,,,,
TBD,Security in Robot Operating Systems (ROS): Analytical Review Study,ROS1-LNA,VUL,I,Partial,"The ROS 1 API is described as essentially anonymous, with no mechanism ensuring that received information originated from a legitimate node. The paper recommends cryptographic source verification and authentication.","Sec. IV, p. 7; Table 4, pp. 8–9",IMP-DT,EP-HIST,Supports missing node identity verification. The paper does not independently implement node impersonation or authentication bypass.,,,,,,
TBD,Security in Robot Operating Systems (ROS): Analytical Review Study,ROS1-PNE,VUL,C,Partial,The comparative analysis reviews Internet exposure detection through scans of ROS Master nodes. The open directions recommend testing reachability from outside the organization and installing firewalls to prevent exposure to public networks.,"Table 6, p. 11; Sec. VII and Table 7, p. 12",IMP-DS,EP-HIST,"External reachability is explicitly treated as a ROS security problem, but the scan results originate from a cited study.",,,,,,
TBD,Security in Robot Operating Systems (ROS): Analytical Review Study,ROS1-LFQ,VUL,A,Partial,"The review identifies a ROS denial-of-service scenario caused by unauthorized publishing at a high frequency, corresponding to malicious traffic overwhelming ROS communication or processing resources.","Table 6, p. 11",IMP-RE,EP-HIST,"Explicit high-rate publishing evidence supports flow-control and QoS weakness, but no attack is executed by the review authors.",,,,,,
TBD,Who Controls Your Robot? An Evaluation of ROS Security Mechanisms,ROS2-ILE,VUL,C,Full,"The authors determine that SROS 2/DDS-Security encrypts transmitted application data but sends access-control policies, node names, and topic names in plaintext. Consequently, it does not provide metadata confidentiality.","Sec. VII-J and Table I, PDF pp. 5–6, paper pp. 64–65",IMP-DS,EP-OBS,Primary code. The finding was evaluated using ROS 2 Eloquent and directly matches leakage of policy and identity metadata despite security being enabled.,,,,,,
TBD,Who Controls Your Robot? An Evaluation of ROS Security Mechanisms,ROS1-LE,VUL,C,Full,"The study concludes that unprotected ROS 1 provides no confidentiality for network communication. A MITM attacker can read ROS traffic, while encryption mechanisms such as SROS, Secure ROS, TLS/DTLS, AES, and VPN are required to protect it.","Secs. V-A, VI-A and VII-A; Table I, PDF pp. 2–5",IMP-DS,EP-OBS,ROS 1 confidentiality is a direct evaluation criterion rather than an incidental background statement.,,,,,,
TBD,Who Controls Your Robot? An Evaluation of ROS Security Mechanisms,ROS1-LNA,VUL,I,Full,"The attacker model allows an adversary to establish rogue ROS nodes, modify or inject traffic, and impersonate a compromised node. The evaluation finds that default ROS 1 lacks integrity and sender-authentication protection.","Secs. V-A–V-B, VI-C and VII-A; Table I, PDF pp. 2–5",IMP-DT,EP-OBS,"The paper analytically evaluates sender identity and communication authenticity, although it does not execute a separate node-registration hijacking experiment.",,,,,,
TBD,Who Controls Your Robot? An Evaluation of ROS Security Mechanisms,ROS1-UTA,VUL,I,Full,"Default ROS 1 is evaluated as providing no access control. The paper explains that a compromised or rogue node must be restricted to only the topics it legitimately needs to publish or subscribe to, and compares mechanisms offering node-, host-, IP-, or certificate-based access control.","Sec. VI-D, Sec. VII-A–VII-H and Table I, PDF pp. 3–6",IMP-DT,EP-OBS,Direct evaluation of unrestricted topic access and the ability of protection mechanisms to constrain publishers and subscribers.,,,,,,
TBD,Who Controls Your Robot? An Evaluation of ROS Security Mechanisms,ROS2-MPIB,VUL,I,Full,"Because DDS security extensions are disabled in the default ROS 2 configuration, ROS 2 provides no communication-integrity or source-authentication guarantee. A receiving node therefore cannot cryptographically verify that a message originated from a legitimate publisher.","Sec. I-B, Sec. VI-C and Sec. VII-I; PDF pp. 1, 3 and 6",IMP-DT,EP-OBS,"The paper directly evaluates the missing authenticity property. No concrete forged /tf or shared-topic publisher attack is executed, but the missing publisher binding is explicitly established for default ROS 2.",,,,,,
TBD,Robot Operating System 2: The Need for a Holistic Security Approach to Robotic Architectures,ROS2-ILE,VUL,C,Full,"DDS-Security allows discovery, liveliness, RTPS messages, metadata, and serialized payloads to receive different protection levels: NONE, SIGN, or ENCRYPT. When discovery or metadata is only signed, participant identifiers, GUIDs, endpoint information, topology information, sequence numbers, locators, and other metadata remain visible in plaintext. The paper explains that clear-text GUID and discovery information may support masquerading and topology reconstruction.","Governance policy discussion, pp. 4 and 6; “Performance versus security models,” pp. 9–12; especially pp. 9–10",IMP-DS,EP-OBS,Primary code. The authors configure multiple DDS-Security protection combinations and measure their behavior and performance. The confidentiality gap is configuration-dependent rather than a claim that full encryption is impossible.,,,,,,
TBD,Robot Operating System 2: The Need for a Holistic Security Approach to Robotic Architectures,ROS2-ICAPP,VUL,I,Partial,"ROS 2 DDS-Security depends on locally stored identity certificates, private keys, governance policies, and participant permission policies. The authors identify unresolved responsibility for policy creation and signing, note that security plug-ins are not necessarily digitally signed or vetted, and emphasize that credentials and policy files require stronger lifecycle and trust management.","DDS security policy and plug-in discussion, pp. 4–7",IMP-DT,EP-CAP,"The standard supports CA signatures for governance and permission policies, so the paper does not establish that every deployment leaves them unprotected. The code reflects residual credential and policy-management exposure rather than complete absence of protection.",,,,,,
TBD,Robot Operating System 2: The Need for a Holistic Security Approach to Robotic Architectures,ROS2-LRI,VUL,A,Partial,"DDS-Security protects data in motion but does not isolate local operating-system processes, memory, hardware components, or cryptographic libraries. The paper describes a malicious local spy process that may observe leakages from other processes and recover sensitive information such as encryption keys.","“Systematic security review,” pp. 6–8; “Software,” p. 8; “Recommendations,” p. 13",IMP-DS,EP-CAP,"This is an explicit architectural gap outside the DDS messaging layer, but no spy process, cross-process memory attack, or key-recovery experiment is implemented.",,,,,,
TBD,Robot Operating System 2: The Need for a Holistic Security Approach to Robotic Architectures,ROS2-CSCE,VUL,C,Partial,"The authors warn that hardware and software obtained from untrusted suppliers may introduce backdoors. They also state that DDS security service providers and plug-ins are not required to follow a signed-provider model comparable to mature cryptographic architectures, allowing a malicious component or spy process to enter the software ecosystem.","Security plug-in discussion, p. 7; “Recommendations,” p. 13",IMP-DT,EP-CAP,"The supply-chain risk is directly identified, but the paper does not replace a DDS plug-in, compromise OpenSSL, or demonstrate a malicious dependency in the evaluated ROS 2 system.",,,,,,
TBD,Understanding Misconfigurations in ROS: An Empirical Study and Current Approaches,ICF,REL,SEM,Full,"The empirical taxonomy directly identifies interaction and configuration faults involving topic and resource-name mismatches, incompatible message formats, absent or conflicting publishers, missing or incorrect nodes, namespaces, remappings, launch-file composition, environment variables, parameter-name dead writes, and missing or duplicate transforms. Figure 4 demonstrates a mistyped topic name that leaves the subscriber disconnected from the intended publisher.","Sec. 3.3, pp. 5–7; Figs. 3–4; Listing 1",IMP-FA,EP-HIST,"Primary code. These faults originate in relationships and configuration bindings among ROS entities. Incorrect behavior, missing data, or node startup failure are consequences rather than separate defect codes.",,,,,,
TBD,Understanding Misconfigurations in ROS: An Empirical Study and Current Approaches,BSE,REL,SEM,Full,"The study directly identifies semantic faults involving physical units, message-content constraints, color formats, image and point-cloud transformations, incorrect TF values or conventions, URDF properties, calibration, control parameters, robot-localization assumptions, and application/environment-dependent configuration. These cases may use syntactically valid and correctly connected interfaces while carrying an incorrect physical or behavioral meaning.","Sec. 3.3, pp. 6–8; Fig. 3",IMP-FA,EP-HIST,"Use BSE for incorrect values or meanings, such as degrees versus radians, invalid TF geometry, incorrect wheel radius, unsuitable PID gains, or an inappropriate planner. Missing topic or parameter bindings remain ICF.",,,,,,
TBD,Understanding Misconfigurations in ROS: An Empirical Study and Current Approaches,SEF,REL,CODE,Full,"The taxonomy explicitly analyzes queue-size errors, frequency mismatches, stale data, message synchronization failures, and launch-time race conditions. In the stereo-vision example, slow disparity processing causes faster image streams to fill queues and overwrite messages before synchronized inputs are available.","Sec. 3.3, pp. 5–7; Fig. 5",IMP-FA,EP-HIST,"Queue overflow, missed timing assumptions, stale messages, and synchronization failures originate in runtime execution and timing mechanisms. They should not be recoded as ICF merely because communication is ultimately affected.",,,,,,
TBD,The Role of Security in Human-Robot Shared Environments: A Case Study in ROS-based Surveillance Robots,ROS1-UTA,VUL,I,Full,"ROS uses anonymous publish/subscribe semantics, weak authorization, no access-level definitions, and no conflict-resolution mechanism. A network participant can subscribe to arbitrary topics, kill nodes, send direct robot commands, or concurrently publish velocity commands that override legitimate control.","Sec. III, p. 3; Conclusion, p. 6",IMP-DT,EP-HIST,"Primary code. The paper explicitly analyzes unrestricted publication, subscription, node control, and command injection as central ROS security flaws. No original attack execution is reported.",,,,,,
TBD,The Role of Security in Human-Robot Shared Environments: A Case Study in ROS-based Surveillance Robots,ROS1-LE,VUL,C,Full,"Communication between ROS nodes is transmitted in clear text over TCP/IP or UDP/IP. The MD5 check verifies only message-structure compatibility and does not encrypt content, allowing an unauthorized listener to intercept messages, interpret their contents, and construct spoofed messages.","Sec. III, p. 3",IMP-DS,EP-HIST,"Direct evidence of absent channel encryption in ROS 1. The STOP architecture consequently proposes TLS/SSL, application-layer message encryption, VPNs, and encrypted storage.",,,,,,
TBD,The Role of Security in Human-Robot Shared Environments: A Case Study in ROS-based Surveillance Robots,ROS1-LNA,VUL,I,Full,"ROS exposes unprotected TCP ports without authentication, nodes do not know the identities of communicating peers, and the system provides no sender verification or message-authenticity checking. Malicious talkers and replacement publishers/listeners can therefore join the system.","Sec. III, p. 3",IMP-DT,EP-HIST,Distinct from topic authorization: this code concerns the inability to establish and verify the identity of ROS nodes and message senders.,,,,,,
TBD,The Role of Security in Human-Robot Shared Environments: A Case Study in ROS-based Surveillance Robots,ROS1-LFQ,VUL,A,Full,"The paper states that ROS provides no QoS mechanisms, leaves communication management to individual nodes, does not compact similar messages, and makes no effort to reduce communication volume. High communication volume hampers time-critical applications and enables network clogging and DoS conditions.","Sec. III, p. 3",IMP-RE,EP-HIST,"Explicitly concerns missing QoS, traffic control, communication-volume management, and resistance to excessive requests or publishing.",,,,,,
TBD,The Role of Security in Human-Robot Shared Environments: A Case Study in ROS-based Surveillance Robots,ROS1-SPF,VUL,A,Partial,"The centralized ROS Master naming service is described as a scalability bottleneck that is not designed to process a large volume of requests and may be exposed to DoS. In the STOP project, the authors reject a shared Master as impractical and instead assign a separate ROS Master to each robot.","Sec. III, p. 3; Sec. IV-A and IV-C, pp. 4–5",IMP-OA,EP-CAP,"The centralized dependency and bottleneck are explicit, but the paper does not crash the Master or demonstrate complete graph-discovery failure. Partial is therefore more defensible than Full.",,,,,,
TBD,A Study on ROS Vulnerabilities and Countermeasure,ROS1-LNA,VUL,I,Full,"ROS does not authenticate communication between the Master and nodes. By setting the attacker’s ROS_MASTER_URI and ROS_HOSTNAME, the attacker connects to the victim environment without further authentication and controls TurtleSim remotely.","Sec. 2.1, p. 147; Figs. 1–2",IMP-DT,EP-OBS,Primary code. The authors explicitly identify missing authentication to the Master as the common enabling cause of most demonstrated attacks.,,,,,,
TBD,A Study on ROS Vulnerabilities and Countermeasure,ROS1-UTA,VUL,I,Full,"After entering the ROS network, the attacker can access and publish control topics. The attacker records all KOBUKI messages using rosbag record -a, replays them to reproduce robot movement, and registers a service with an existing name to replace the legitimate service.","Secs. 2.1–2.2, p. 147; Sec. 2.4, p. 148; Figs. 7–8 and 11–12",IMP-DT,EP-OBS,"Covers unauthorized topic access, command replay, service registration, and service replacement. Rosbag is an attack utility here, not the underlying defect.",,,,,,
TBD,A Study on ROS Vulnerabilities and Countermeasure,ROS1-LE,VUL,C,Full,ROS XML-RPC communication is transmitted without encryption. An intermediary attacker can observe the communication history and manipulate exchanged data to control the robot remotely.,"Sec. 2.3, p. 148",IMP-DS,EP-OBS,The proposed Diffie–Hellman and AES-256 countermeasure confirms that absent communication encryption is the identified root problem.,,,,,,
TBD,ROSploit: Cybersecurity Tool for ROS,ROS1-UTA,VUL,I,Full,"The Master-scan component invokes getSystemState() and obtains the complete list of active nodes, topics, and services. The exploitation component can then insert itself between two nodes on a selected topic and modify their communication.","“Threat Model” and “ROSploit,” PDF pp. 1–2; Fig. 1, p. 2",IMP-DT,EP-OBS,Primary code. The implemented tool directly demonstrates unrestricted discovery of ROS resources and the ability to access and manipulate topic communication without an application-defined authorization policy.,,,,,,
TBD,ROSploit: Cybersecurity Tool for ROS,ROS1-LNA,VUL,I,Partial,ROSploit sends ordinary XML-RPC and TCPROS requests to open ports and can interact with identified ROS nodes without presenting a node certificate or other identity credential. The paper also identifies unauthorized publishers and subscribers as central ROS threats.,"“Security for ROS,” p. 1; “Threat Model,” p. 1; “ROSploit,” p. 2",IMP-DT,EP-CAP,"The tool behavior is consistent with absent peer authentication, but the paper does not separately implement or measure a node-authentication bypass experiment.",,,,,,
TBD,ROSploit: Cybersecurity Tool for ROS,ROS1-LE,VUL,C,Partial,"The tool supports a MITM mode that inserts itself into communication between two ROS nodes and allows the user to inspect or alter exchanged data. The paper contrasts baseline ROS with SROS, which adds TLS encryption to address existing communication vulnerabilities.","“Security for ROS,” p. 1; “ROSploit,” p. 2",IMP-DS,EP-CAP,"The communication channel is treated as insufficiently protected, but the paper does not report packet-capture results or independently quantify plaintext-data exposure.",,,,,,
TBD,Scanning the Internet for ROS: A View of Security in Robotics Research,ROS1-PNE,VUL,C,Full,"The authors scanned approximately 3.7 billion public IPv4 addresses for the default ROS Master port and repeatedly identified more than 100 publicly reachable ROS Masters. Publicly exposed systems revealed nodes, topics, services, parameters, sensors, actuators, robot types and research activity patterns.","Abstract and Sec. I, p. 1; Sec. IV, pp. 2–3; Sec. V and Tables I–III, pp. 3–6",IMP-DS,EP-OBS,Primary code. External network exposure is the central measured defect. The study directly establishes that ROS Masters and Rosbridge instances were reachable beyond their intended trust boundaries.,,,,,,
TBD,Scanning the Internet for ROS: A View of Security in Robotics Research,ROS1-UTA,VUL,I,Full,"A remote host could query ROS graph information, subscribe to camera and point-cloud topics, publish messages to change Baxter’s face and joint angles, invoke speech and neck-control services, and thereby control robot sensors and actuators without a ROS-level authorization decision.","Sec. VI-B–VI-C, pp. 6–7; Fig. 2, p. 7",IMP-DT,EP-OBS,"The proof-of-concept was conducted with explicit operator consent. It demonstrates unauthorized topic access, publication and service invocation that would otherwise be available to any similarly connected attacker.",,,,,,
TBD,Scanning the Internet for ROS: A View of Security in Robotics Research,ROS1-LNA,VUL,I,Full,"The paper states that the ROS Master trusts every node that connects to it. For the Herb2 penetration test, the researchers only needed to set ROS_MASTER_URI, ROS_IP and local hostname resolution before their remote ROS node could interact with the target system; no ROS node credential or identity certificate was required.","Sec. I, p. 1; Sec. III, p. 2; Sec. VI-C, p. 7",IMP-DT,EP-OBS,Distinct from authorization: the remote node was accepted as a ROS participant without proving that it was a legitimate node belonging to the robot deployment.,,,,,,
TBD,Scanning the Internet for ROS: A View of Security in Robotics Research,ROS1-IPS,VUL,I,Full,"During the authors’ penetration test of their publicly exposed Baxter robot, remote XML-RPC access allowed them to inspect and modify rosparam values. They explain that changing arm-controller PID gains could place the robot in a dangerous state and cause unexpected oscillation.","Sec. IV, p. 3; Sec. VI-B, pp. 6–7",IMP-DT,EP-OBS,Direct experimental evidence of remotely modifying Parameter Server values without a ROS-level authorization check. The dangerous PID effect is a security impact and is not separately coded as a reliability fault.,,,,,,
TBD,Security on ROS: Analyzing and Exploiting Vulnerabilities of ROS-Based Systems,ROS1-LNA,VUL,I,Partial,"The paper states that ROS provides no authentication mechanism for managing communication between nodes. Consequently, ROS peers cannot cryptographically establish that the entity sending or forwarding communication is a legitimate robot component.","Introduction, p. 1; Sec. III-B, p. 2",IMP-DT,EP-CAP,"The weakness is explicitly identified, but the implemented experiment impersonates endpoints through ARP poisoning rather than registering a rogue ROS node or demonstrating a ROS-level authentication bypass.",,,,,,
TBD,Security on ROS: Analyzing and Exploiting Vulnerabilities of ROS-Based Systems,ROS1-UTA,VUL,I,Partial,The authors state that ROS lacks authorization controls and allows any computer on the network to listen to desired topics. Their tool targets the /speech_to_text topic and can be adapted to alter messages of any known ROS message type on any intercepted topic.,"Introduction, p. 1; Sec. IV, pp. 3–4",IMP-DT,EP-OBS,Topic communication is experimentally accessed and modified without an application authorization decision. Coverage is Partial because the attack captures network traffic rather than subscribing or publishing through the ROS Master API.,,,,,,
TBD,Security Controller Synthesis for ROS-based Robot,ROS1-UTA,VUL,I,Partial,"The paper states that a ROS node may publish data to arbitrary topics without prior authorization. An attacker on the same network can therefore send false speed, position, or navigation information, causing the robot to execute unexpected actions or enter dangerous regions. The proposed security controller limits speed, stops near people, and returns the robot from the staircase to a safe location.","Sec. IV-A, pp. 3–4; Figs. 2–4",IMP-DT,EP-CAP,"Primary code. The weakness and mitigation logic are explicit, but the paper does not implement and measure an actual malicious publisher or topic-injection attack.",,,,,,
TBD,Security Controller Synthesis for ROS-based Robot,ROS1-LNA,VUL,I,Partial,The false-information scenario is enabled because publishers can interact with ROS topics without pre-authentication. The system therefore cannot establish that a node sending commands is an authorized participant before accepting its messages.,"Sec. IV-A, p. 3",IMP-DT,EP-CAP,Separate from authorization: this code captures the absence of participant identity verification. No authentication-bypass experiment or rogue-node registration trace is reported.,,,,,,
TBD,Security Controller Synthesis for ROS-based Robot,ROS1-LFQ,VUL,A,Partial,"The authors explain that every node can publish arbitrary content to topics subscribed to by a target node, enabling traffic-flooding DoS. Their controller monitors message count, CPU usage, CPU temperature, RAM usage, and battery consumption, shuts down the affected robot, and assigns its task to a standby robot.","Sec. IV-B, pp. 4–6; Figs. 5–7",IMP-RE,EP-OBS,"The Gazebo scenario demonstrates the security-controller response to a detected DoS condition. However, the paper does not specify an implemented flooding node, publication rate, packet volume, threshold values, or measured resource-exhaustion curve, so Partial is more defensible than Full.",,,,,,
TBD,Penetration Testing ROS,ROS1-UTA,VUL,I,Full,"Anonymous attackers can query the complete ROS graph and invoke unrestricted Master and Slave API operations. ROSPenTo uses forged publisherUpdate calls to disconnect legitimate publishers, attach unauthorized publishers, isolate services and inject false sensor data. Roschaos can unregister publishers, subscribers, services and complete nodes, or remotely invoke node shutdown.","Secs. 2.3–2.5, pp. 4–7; Secs. 3.1–3.3, pp. 7–11; Sec. 4, pp. 13–31; Sec. 5, pp. 31–36",IMP-DT,EP-OBS,"Primary code. The tools directly demonstrate unauthorized topic manipulation, false publication, service disruption, action interference and node termination.",,,,,,
TBD,Penetration Testing ROS,ROS1-LNA,VUL,I,Full,"ROS 1 does not authenticate XML-RPC callers. Node identity is derived entirely from attacker-controlled parameters such as caller_id, node name and API URI, without cryptographic proof. This permits attackers to impersonate the Master, publishers, nodes or service providers when invoking registration, update and shutdown methods.","Sec. 1, p. 2; Sec. 2.2–2.5, pp. 4–7",IMP-DT,EP-OBS,The lack of identity validation is not merely background: ROSPenTo and Roschaos rely on forged caller identities to make unauthorized API calls appear legitimate.,,,,,,
TBD,Penetration Testing ROS,ROS1-IPS,VUL,I,Full,"The ROS Parameter Server applies no ownership or namespace-based access restriction and gives anonymous clients read and write access. ROSPenTo demonstrates unsubscribing a C++ node from legitimate parameter updates and sending a forged paramUpdate, changing the value observed locally while the value stored on the Parameter Server remains unchanged. Roschaos can also delete or manipulate parameters and subscriptions.","Sec. 2.4, p. 6; Sec. 3.4, pp. 12–13; Sec. 4.1, pp. 25–27; Sec. 5.1, pp. 32–34",IMP-DT,EP-OBS,"Direct experimental evidence of unauthorized parameter inspection, update, deletion and desynchronization. The attack can cause different nodes to observe inconsistent values for the same parameter.",,,,,,
TBD,Penetration Testing ROS,ROS1-LE,VUL,C,Partial,"The paper states that ROS 1 TCP/UDP communication has no confidentiality protection or authenticated encryption, making network eavesdropping straightforward. It contrasts baseline ROS with SROS and other secure ROS variants that add encryption.","Sec. 1, p. 2; Sec. 2.2, p. 4; Sec. 6.2, pp. 37–38",IMP-DS,EP-CAP,"The confidentiality weakness is explicit, but ROSPenTo and Roschaos mainly exploit XML-RPC authorization flaws rather than presenting an independent packet-capture or plaintext-content experiment.",,,,,,
TBD,Novel Denial-of-Service Attacks Against Cloud-Based Multi-Robot Systems,ROS1-LFQ,VUL,A,Full,"A malicious ROS publisher can increase its publication rate from 4 Hz to 400 Hz and continuously send dummy messages with valid content. ROS provides no effective mechanism in the evaluated configuration to constrain the publisher rate or prevent the messages from filling the wireless router queue and consuming subscriber computation resources. The attack substantially increases latency, packet loss and critical-node processing time.","Secs. 3.2 and 4.1–4.2, pp. 334–335; Figs. 5–6; Secs. 5.2–5.3, pp. 337–339; Figs. 8–11",IMP-RE,EP-OBS,"Primary code. The paper directly implements and quantitatively evaluates high-rate publishing, communication congestion and resource exhaustion in ROS Melodic.",,,,,,
TBD,Data Tampering Attack Design for ROS-Based Object Detection and Tracking Robotic Platform,ROS1-LNA,VUL,I,Full,"TCPROS and XMLRPC lack authentication or identity verification. The authors exploit this weakness through ARP spoofing and by introducing a malicious publisher, forcing a legitimate subscriber to communicate with the attacker-controlled node.","Abstract; Sec. IV-B, pp. 4–5; Conclusion, p. 6",IMP-DT,EP-OBS,Primary code. Authentication weakness is directly analyzed and experimentally exploited on the physical ROS platform.,,,,,,
TBD,Data Tampering Attack Design for ROS-Based Object Detection and Tracking Robotic Platform,ROS1-LE,VUL,C,Full,"ROS node messages are transmitted in cleartext. The authors intercept the 48-byte serialized /cmd_vel control message using a MITM attack, identify the linear and angular velocity fields with Wireshark, modify the values and forward the altered message to the robot.","Sec. IV-B(a), p. 4; Figs. 5–8, pp. 4–5",IMP-DT,EP-OBS,Cleartext TCPROS traffic is directly captured and modified; this is stronger than a general capability claim.,,,,,,
TBD,Data Tampering Attack Design for ROS-Based Object Detection and Tracking Robotic Platform,ROS1-UTA,VUL,I,Full,"The attack tool invokes getSystemState and publisherUpdate, creates a malicious node with the required message type and injects fake images into the object-detection node without authorization. The injected data prevents correct target detection and disrupts robot tracking.","Sec. IV-B(b), p. 5; Figs. 9–12, p. 5",IMP-DT,EP-OBS,Direct experimental evidence of unauthorized publishing and false-data injection through ROS APIs.,,,,,,
