ROS SLR 精简编码表 / Concise Study Coding,,,,,,,,,,,,,,,,,,,,,,
一篇文章一行。主缺陷代码只填一个；其他缺陷代码可用分号列出，但每个 Full/Partial 缺陷必须在 02_Defect_Evidence 中单独建立证据行。缺陷覆盖度与研究质量不得混用。,,,,,,,,,,,,,,,,,,,,,,
Study ID,Article Title / 文章标题,ROS Version,Major Category,2-Major Category,final-Major Category,Primary Defect Code,Primary Subcategory,2-Primary Subcategory,final-Primary Subcategory,Other Defect Code(s),ALL Defect Code,Primary Impact,Source Code Required,Simulation Use,QA1 ROS Relevance,QA2 Defect Clarity,QA3 Study/Method Clarity,QA4 Evaluation Strength,QA5 Reproducibility,QA Total (0-5),Adjudication / Notes,Tools
TBD,Penetration Testing ROS,ROS 1,VUL,VUL,VUL,ROS1-UTA,I; C,I; C,I; C,ROS1-LNA; ROS1-IPS; ROS1-LE,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,IMP-DT,No,Yes,Full,Full,Full,Partial,Full,4.5,"The chapter presents ROSPenTo and Roschaos for attacking ROS 1 Master, Slave, Parameter Server, topic, service, action and node-management APIs. It experimentally demonstrates stealth publisher injection, publisher/subscriber isolation, service isolation, malicious parameter updates and remote node shutdown. Examples include ROS Kinetic tutorial systems, a physical KUKA iiwa safety application with an OMRON OS32c LIDAR, and a Gazebo TurtleBot navigation simulation. No target application source code is required for graph analysis and API manipulation, although valid data injection requires the ROS message definition and parameter attacks require knowledge of parameter subscriptions.",No
TBD,Novel Denial-of-Service Attacks Against Cloud-Based Multi-Robot Systems,ROS 1,VUL,VUL,VUL,ROS1-LFQ,A,A,A,—,ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-LFQ,IMP-RE,No,Yes,Full,Full,Full,Full,Partial,4.5,"The study implements three DoS attacks against ROS Melodic cloud-based multi-robot workloads: network flooding, micro-architecture contention, and parameter manipulation. ROS1-LFQ is the only precise codebook match because a malicious publisher can increase its rate from 4 Hz to 400 Hz, fill router queues, increase latency and packet loss, and force subscribers to consume excessive resources. Hardware evaluations use two robot-computing platforms and a virtualized cloud server; two end-to-end case studies use Gazebo and RViz. The target application source code is not required, although the attacker must control or compromise one function node and understand relevant topics or performance parameters.",No
TBD,Data Tampering Attack Design for ROS-Based Object Detection and Tracking Robotic Platform,ROS 1,VUL,VUL,VUL,ROS1-LE,I; C,I; C,I; C,ROS1-UTA; ROS1-LNA,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF,IMP-DT,No,No,Full,Full,Full,Partial,Partial,4,"The paper experimentally attacks a physical ROS 1 mobile robot. A TCPROS MITM attack intercepts the plaintext 48-byte /cmd_vel payload and modifies linear and angular velocity values, changing the robot trajectory. A second Python tool exploits unauthenticated Master/Slave XML-RPC APIs, retrieves the ROS graph, forges publisherUpdate, and connects a fake image publisher to the object-detection node. The target application source code is not required, although the attacker needs the topic, message type, payload structure, ROS Master address, and ROS API knowledge. The paper reports “ROS Kinect distribution,” which appears to refer to ROS Kinetic; the generation is unambiguously ROS 1.",No
TBD,Analysis of Attacks on Robotic Operation System,Both,VUL,VUL,VUL,ROS1-LNA,C,I,I; C,ROS1-LE; ROS2-ILE,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,IMP-OA,No,Yes,Full,Full,Full,Partial,Partial,4,"The study experimentally exploits missing authentication in the ROS 1 Master and Slave XML-RPC APIs using ROS Kinetic, Docker, roschaos and ROSPenTo. It demonstrates unauthorized publisher deregistration and manipulation of subscriber publisher lists. It also explicitly discusses plaintext ROS 1 communication and residual ROS 2/DDS-Security leakage, but does not experimentally validate the encryption-related weaknesses. The evaluation is limited to small synthetic ROS publisher/subscriber scenarios and reports no quantitative metrics or physical robot validation.",No
TBD,Cyberattacks on Self-Driving Cars and Surgical and Eldercare Robots,Both,BOTH,VUL,VUL,ROS1-UTA,C; A,I; A; CODE,I; C; A; CODE,ROS1-LNA; ROS1-LE; ROS1-LFQ; SEF,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,IMP-DT,No,No,Full,Partial,No,No,No,1.5,"The paper directly reviews ROS security weaknesses and ROS-based attacks in surgical and eldercare robots. Unauthorized publishing and arbitrary topic access are selected as the primary defect family. Missing authentication, plaintext communication and malicious high-rate publishing are separate vulnerability families. ROS real-time latency, message loss and lack of scheduling guarantees constitute a distinct reliability concern. The paper is a narrative review without a reported search strategy, screening process, quality assessment, original experiment or replication package.",No
TBD,ROS Network Security for a Swing Doors Automation in a Robotized Hospital,ROS 1,VUL,VUL,VUL,ROS1-LE,C; I,C; I,C; I,ROS1-LNA,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,IMP-DS,No,No,Full,Full,Partial,No,No,2.5,"The paper directly analyzes ROS 1 message-transfer security in a robotized hospital. TCPROS plaintext transmission and healthcare-data confidentiality are the primary concerns. Authentication and authorization are explicitly identified as additional requirements. The authors compare centralized, mixed and independent architectures and recommend a fully centralized, isolated network with WPA2/WPA3, authentication, authorization, encryption, firewall protection and backup servers. However, no implemented prototype, attack experiment, performance measurement or replication artifact is reported.",No
TBD,An Analysis of DoS Attack on Robot Operating System,ROS 1,VUL,VUL,VUL,ROS1-LFQ,A; I,A; I,A; I,ROS1-SPF; ROS1-UTA,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-SPF; ROS1-LFQ,IMP-RE,No,Yes,Full,Full,Full,Full,Partial,4.5,"The paper directly evaluates ROS 1 DoS attacks using ROS Noetic, Gazebo, TurtleBot3 Waffle, ROSPloit, custom publisher/subscriber attacks and Tshark. Attack volumes of 10, 100 and 1000 malicious nodes are evaluated under four background-traffic levels. Delay and packet loss are measured at the application and transport layers. No target source code is required. Evaluation is simulation-only. Reproducibility is limited because the custom attack implementation, scripts and collected traffic dataset are not publicly provided.",No
TBD,Understanding the Internet-Wide Vulnerability Landscape for ROS-based Robotic Vehicles,Both,VUL,VUL,VUL,ROS1-PNE,C; I,C; I,C; I,ROS1-LNA; ROS1-UTA,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-UTA; ROS1-IPS; ROS1-SPF; ROS2-ILE; ROS2-LMLAC; ROS2-ICAPP; ROS2-MPIB; ROS2-UTFAN,IMP-DS,No,No,Full,Full,Full,Full,Full,5,"The study directly measures Internet-exposed ROS 1 systems through three IPv4-wide scans and deploys 38 ROS 1/ROS 2 honeypots. Public exposure is the primary defect. Missing authentication and unrestricted ROS access are explicit enabling weaknesses, but the authors deliberately avoid modifying scanned systems or retrieving sensitive payload data. Code and data are publicly released.",No
TBD,Analyzing Impact and Systemwide Effects of the SlowROS Attack in an Industrial Automation Scenario,ROS 1,VUL,VUL,VUL,ROS1-LFQ,A,A,A,ROS1-SPF,ROS1-LE; ROS1-PNE; ROS1-LNA; ROS1-IPS; ROS1-SPF; ROS1-LFQ,IMP-RE,No,No,Full,Full,Full,Full,Partial,4.5,"The study directly discovers and evaluates a Slow DoS vulnerability in the standard ROS Noetic Master. The primary root cause is the absence of an effective idle-connection timeout, enabling malicious connections to occupy all available sockets and file descriptors indefinitely. Because the ROS Master and Parameter Server share one process and the Master is centralized, resource exhaustion causes systemwide disruption. Evaluation uses a physical Interbotix PincherX-100 arm, Intel NUC, Raspberry Pi nodes and a 100BaseTX industrial network. Experimental procedures and parameters are detailed, but the attack software and raw data are not publicly released; data are available only on request.",No
TBD,Network Reconnaissance and Vulnerability Excavation of Secure DDS Systems,ROS 2,VUL,VUL,VUL,ROS2-ILE,C,C,C,—,ROS2-ILE; ROS2-ICAPP; ROS2-UTFAN,IMP-DS,No,Yes,Partial,Full,Full,Full,Full,4.5,"The direct object is Secure DDS rather than a complete ROS 2 deployment, but the analyzed DDS-Security mechanism is used by ROS 2 and the paper explicitly discusses ROS 2 topic naming and fingerprinting. Permission documents are exchanged in plaintext during the authenticated crypto handshake, exposing topic, partition, data-tag and capability metadata. The authors implement a reproducible Docker-based test harness, capture RTPS traffic, reconstruct DDS information-flow topology with formal verification, and release the code publicly.",No
TBD,AVGuardian: Detecting and Mitigating Publish-Subscribe Overprivilege for Autonomous Vehicle Systems,ROS 1,VUL,VUL,VUL,ROS1-UTA,I,I,I,—,ROS2-ILE; ROS2-LMLAC; ROS2-ICAPP; ROS2-MPIB; ROS2-UTFAN,IMP-DT,Yes,Yes,Full,Full,Full,Full,Partial,4.5,"The paper directly studies coarse-grained publish/subscribe permissions in ROS-based autonomous-vehicle systems. SROS correctly enforces topic/message-level policies, but authorized modules receive unnecessary read or write authority over individual message fields. ROS1-UTA is the closest valid ROS 1 code, although the exact mechanism is message-field-level overprivilege. The concept resembles ROS2-LMLAC, but that code cannot be used because the implementation and evaluation use ROS Indigo. AVGuardian requires target module source code and evaluates attacks using Apollo SimControl and real-world driving traces. The paper provides video demonstrations but does not report a public release of the AVGuardian implementation or complete reproduction package.",No
TBD,Analyzing Security Vulnerability and Forensic Investigation of ROS2: A Case Study,ROS 2,VUL,VUL,VUL,ROS2-UTFAN,A,A,A,—,ROS2-ILE; ROS2-LMLAC; ROS2-ICAPP; ROS2-LRI,IMP-OA,No,Yes,Full,Full,Partial,Partial,No,3,"The paper directly evaluates ROS 2 Foxy security using a victim VM and an attacker VM. A malicious ROS 2 client joins the same communication domain, invokes the victim service without prior authorization and sends repeated requests until the service crashes. ROS2-UTFAN is the closest existing leaf because the observed availability failure is caused by unrestricted service-client traffic. However, DDS-Security authentication is not enabled, so the paper does not strictly study traffic abuse by a cryptographically authenticated node. Unauthorized service access and data injection are also demonstrated, but the current ROS 2 codebook contains no direct equivalent of ROS1-UTA. The attack commands are described, but package names, the DoS script, request rate, repetition count and complete artifacts are not provided.",No
TBD,Investigating Security Threats in Multi-Tenant ROS 2 Systems,Both,VUL,VUL,VUL,ROS2-ICAPP,I; C,I; C,I; C,ROS2-LMLAC; ROS2-MPIB; ROS1-UTA,ROS2-ILE; ROS2-LMLAC; ROS2-ICAPP; ROS2-MPIB; ROS2-UTFAN; ROS2-LRI,IMP-DT,Yes,Yes,Full,Full,Full,Full,Partial,4.5,"The paper directly investigates ROS 2 node, topic, namespace, Domain ID and SROS2 enclave security in multi-tenant environments. The primary weakness is the insufficient protection and binding of security contexts/enclaves: malicious nodes can create new contexts through internal APIs or CLI tools, override enclave settings and escape inherited restrictions. Topic-level permission granularity, missing publisher-source binding and the insecure ROS 1 side of ros1_bridge form additional independent weaknesses. Experiments use Open-RMF, Autoware and a ROS1–ROS2 camera application in software environments. The paper describes configurations and attacks clearly, but does not provide a complete public reproduction package or attack-tool repository.",No
TBD,Cybersecurity in Autonomous Systems: Evaluating the Performance of Hardening ROS,ROS 1,VUL,VUL,VUL,ROS1-LE,C; I,C; I,C; I,ROS1-UTA,ROS1-LE; ROS1-UTA,IMP-DS,No,No,Full,Full,Full,Full,Partial,4.5,"The study directly evaluates the confidentiality weakness of ROS 1 Indigo communications and implements separate encryption/decryption nodes using 3DES. A malicious ROS node can discover the ROS Master and subscribe to the sensor topic, but cannot recover the protected payload without the key. Evaluation includes publisher/listener tests, 256 KB–1 MB messages, and an 18-hour camera experiment with 971,790 frames. Source code and raw data are not released, limiting complete reproduction.",Yes
TBD,Cybersecurity in Autonomous Systems: Hardening ROS Using Encrypted Communications and Semantic Rules,ROS 1,VUL,VUL,VUL,ROS1-LE,C; I,C; I,C; I,ROS1-UTA,ROS1-LE; ROS1-UTA,IMP-DS,No,No,Full,Full,Partial,Partial,Full,4,"The paper directly studies ROS 1 plaintext communication and implements AES encryption plus ROSRV runtime monitors. A second publisher can inject plaintext messages into the same topic, while the monitor detects and discards them. A separate monitor rejects localization messages affected by an external DoS attack against the KIO RTLS. Evaluation uses a physical robot and real localization hardware. Public source code is provided. Method clarity is reduced by an inconsistency between the prose and Algorithm 1 regarding the chi-square threshold, and the evaluation reports proof-of-concept outcomes rather than systematic detection accuracy.",Yes
TBD,Increasing ROS 1.x Communication Security for Medical Surgery Robot,ROS 1,VUL,VUL,VUL,ROS1-LNA,I,I,I,ROS1-UTA,ROS1-LNA; ROS1-UTA,IMP-DT,Yes,No,Full,Full,Partial,Partial,Partial,3.5,"The paper directly studies missing authentication and authorization in ROS 1.x. It implements an application-layer AA node, a database-connector node, runtime communication keys, login/logout services and authorization checks for publishing and subscribing. Adoption requires ROS nodes to use overloaded subscribe/advertise functions. Evaluation is a software prototype on Ubuntu 14.04 and ROS Indigo; no robot simulator or physical surgical procedure is used. Functional testing is described, but attack coverage, latency measurements, repeated trials, source-code release and raw data are not provided.",Yes
TBD,Application-level Security for ROS-based Applications,ROS 1,VUL,VUL,VUL,ROS1-LNA,I; C,I; C,I; C,ROS1-UTA; ROS1-LE,ROS1-LNA; ROS1-UTA; ROS1-LE,IMP-DT,Yes,No,Full,Full,Full,Partial,Partial,4,"The paper directly addresses missing node and message authentication in ROS 1. A dedicated authentication server performs certificate-based challenge–response authentication, distributes topic-specific keys and provides publisher verification. Unauthorized publishing, arbitrary subscription and plaintext communication are separate weaknesses. Evaluation uses a physical KUKA iiwa and compares insecure and secured execution, but provides no repeated trials, attack-success statistics or released implementation package.",Yes
TBD,Security for the Robot Operating System,ROS 1,VUL,VUL,VUL,ROS1-UTA,I; C; A,I; C; A,I; C; A,ROS1-LNA; ROS1-LE; ROS1-LFQ; ROS1-IPS,ROS1-UTA; ROS1-LNA; ROS1-LE; ROS1-LFQ; ROS1-IPS,IMP-DT,Yes,No,Full,Full,Full,Full,Partial,4.5,"The paper systematically analyzes unauthorized publishing, arbitrary subscription, insecure XMLRPC calls, plaintext node communication, high-rate message flooding and parameter manipulation in ROS 1. It implements two defenses: an application-level authentication/encryption architecture and a ROS Kinetic roscpp modification using TLS/DTLS and certificate-based topic authorization. RosPenTo is used to reconstruct and manipulate the ROS graph and inject false information. Source access is required for the secure-channel modification, although RosPenTo itself is black-box. Attack and mitigation procedures are detailed, but the complete implementation, scripts and experimental datasets are not packaged as a fully self-contained replication artifact.",Yes
TBD,Policy-based Access Control for Robotic Applications,ROS 1,VUL,VUL,VUL,ROS1-UTA,I,I,I,—,ROS1-UTA,IMP-DT,Yes,No,Full,Full,Full,Partial,Partial,4,"The paper directly studies the absence of permission control in ROS 1. It proposes and implements a PBAC access manager with identity tokens, access tokens, policy evaluation and runtime revocation. The method requires modifying or adapting ROS/application code so that resources verify access tokens. Evaluation uses a Pioneer 3-DX robot, three access-control scenarios and 1,000 performance requests. Evaluation is limited to one platform, simple cases and overhead measurements; no public repository, complete source code or detailed policy scripts are provided.",Yes
TBD,Cross-Layer Secure and Resilient Control of Delay-Sensitive Networked Robot Operating Systems,ROS 1,VUL,VUL,VUL,ROS1-UTA,I,I,I,—,ROS1-UTA,IMP-DT,No,No,Partial,Full,Full,Partial,Partial,3.5,"The paper directly models false-data injection against ROS agents and designs a lightweight MAC, time-delay controller, Chi-square detector and POMDP-based security policy. ROS is the stated application context, but the dynamics, authentication model and numerical evaluation are largely generic networked-control abstractions rather than a ROS protocol implementation. Evaluation is numerical only, without an executable ROS tool, ROS distribution, communication trace, physical robot or simulator.",Yes
TBD,Designing a Security Platform for Collaborating Autonomous Systems – An Experience Report,ROS 1,VUL,VUL,VUL,ROS1-LNA,I; C,I; C,I; C,ROS1-UTA; ROS1-LE,ROS1-LNA; ROS1-UTA; ROS1-LE,IMP-DT,Yes,No,Full,Full,Full,Partial,Partial,4,"The paper designs and implements an application-layer security platform for collaborative TurtleBots using ROS 1. It addresses unauthenticated ROS Master–node interaction, unrestricted message/service access and unencrypted communication through OAuth-based authentication and authorization, TLS, public-key encryption, REST services and fault-tolerance mechanisms. The implementation architecture is clearly described, but evaluation is mainly an experience report and illustrated case study without attack-detection metrics, performance benchmarks, comparative baselines or a public replication package.",Yes
